Row.names,seqnames,HIL_CpG_class,Closest_TSS_gene_name
cg20476019,chr22,IC,TIMP3
cg03840259,chr22,LC,GRAP2
cg18686206,chr14,LC,SFTA3
cg14602087,chr8,HC,ZNF703
cg08482436,chr7,HC,DLX6-AS1
cg14398113,chr15,LC,SEMA6D
cg05679002,chr3,IC,TMCC1
cg06630241,chr12,HC,LOC144481
cg17975443,chr17,ICshore,TBX4
cg26613811,chr7,IC,REPIN1
cg15586392,chr8,IC,SLC45A4
cg10721220,chr8,LC,LOC286135
cg15289899,chr11,LC,CD81
cg13446584,chr7,IC,GTF2I
cg19291696,chr13,LC,USP12
cg15086439,chr1,LC,EDARADD
cg00512404,chr12,LC,ARHGDIB
cg05341539,chr15,IC,AKAP13
cg07733851,chr5,LC,NR3C1
cg20688917,chr7,LC,AK311383
cg22225849,chr6,LC,Mir_684
cg06427867,chr21,LC,CLDN8
cg14985891,chr1,LC,CASQ2
cg03217995,chr7,ICshore,HOXA9
cg22725685,chr4,ICshore,PF4
cg11891395,chr7,IC,DLX5
cg15016062,chr5,LC,FAM172A
cg13033858,chr12,IC,SSH1
cg17526103,chr8,IC,MIR124-1
cg16731240,chr19,HC,ZNF577
cg03778909,chr17,IC,TBCD
cg00689225,chr14,LC,NFKBIA
cg20295992,chr6,HC,AF520419
cg16661209,chr13,HC,FLT1
cg19301897,chr5,HC,SLC9A3
cg03575641,chr7,HC,TSPAN33
cg01244015,chr2,LC,FAM124B
cg12864389,chr8,ICshore,PLEC
cg10370591,chr2,LC,TPO
cg16905265,chr7,LC,IKZF1
cg05129325,chr1,ICshore,KCNK2
cg04340430,chr2,LC,AK123617
cg21669679,chr18,HC,DCC
cg10665616,chr7,LC,AUTS2
cg02927252,chr1,LC,KAZN
cg09884146,chr2,LC,SPRED2
cg06042148,chr8,LC,GDF6
cg06457011,chr20,IC,BC035080
cg23657179,chr10,HC,ZNF503-AS2
cg10958362,chr5,LC,C5orf38
cg08446038,chr5,LC,ITGA2
cg24302235,chr3,HC,SLC2A2
cg19797516,chr10,HC,LINC00264
cg18034737,chr4,HC,ZFP42
cg03521774,chr8,HC,ZBTB10
cg02050985,chr2,LC,TBC1D8
cg11083235,chr3,LC,RAB7A
cg00151370,chr6,IC,GMPR
cg08742502,chr6,LC,PRDM1
cg13818424,chr17,IC,Mir_584
cg10057264,chr4,LC,EPGN
cg10146929,chr6,IC,HIST1H1A
cg05760765,chr12,LC,JA428959
cg27071460,chr5,HC,PTGER4
cg17738213,chr2,LC,BCL11A
cg01689438,chr3,HC,ZIC1
cg11152263,chr7,ICshore,FLJ44511
cg11631523,chr7,HC,MNX1
cg12219325,chr8,HC,FAM110B
cg06729381,chr11,IC,SYT7
cg16365424,chr1,LC,LOC100506795
cg27563985,chr20,HC,CBLN4
cg03015498,chr10,IC,SFMBT2
cg16406892,chr12,LC,TBX3
cg08448479,chr4,LC,ANK2
cg06685968,chr7,HC,DQ655986
cg22785294,chr17,IC,ZNF750
cg25520679,chr17,HC,HIC1
cg03713642,chr16,HC,HS3ST2
cg00710180,chr2,IC,MAL
cg12584100,chr6,IC,NQO2
cg16927242,chr2,LC,MEIS1
cg21594839,chr8,LC,OC90
cg02776659,chr21,HC,YBEY
cg20348196,chr6,LC,HLA-DRA
cg06274159,chr4,HC,ZFP42
cg12082048,chr2,LC,SOX11
cg07615493,chr19,LC,EBI3
cg08944961,chr12,LC,CUX2
cg10061129,chr1,LC,U80773
cg27051318,chr8,LC,CHRNA6
cg00760729,chr2,LC,MIR4785
cg02291164,chr14,LC,Mir_548
cg19706515,chr7,HC,NEUROD6
cg26165146,chr12,LC,ARNTL2
cg13816042,chr9,LC,COL5A1
cg16450097,chr8,IC,RNF19A
cg01246622,chr10,LC,HABP2
cg27139419,chr15,IC,IGF1R
cg03505654,chr1,IC,NLRP3
cg19463193,chr15,LC,FEM1B
cg00275449,chr3,LC,ACAP2
cg25581330,chr4,LC,PDLIM3
cg03196720,chr12,HC,SCNN1A
cg11539674,chr7,HC,SND1
cg21634602,chr5,IC,APC
cg16335762,chr16,ICshore,CMTM3
cg11093142,chr13,LC,RCBTB2
cg16236157,chr2,LC,LOC100129726
cg20337996,chr12,ICshore,FAM101A
cg25425140,chr3,IC,ZIC4
cg04259358,chr10,LC,RAB11FIP2
cg17881208,chr12,LC,KIAA0748
cg03562414,chr19,HC,ZNF577
cg20299703,chr1,HC,DNAJC6
cg07473553,chr3,IC,ALG1L
cg25388800,chr5,LC,HSPA9
cg03854238,chr6,LC,LINC00340
cg26379845,chr6,IC,LINC00242
cg11205072,chr6,IC,TRNA_Arg
cg20477160,chr2,IC,BC148242
cg03533829,chr2,IC,REV1
cg04421974,chr8,IC,WISP1
cg04849842,chr8,HC,KCNK9
cg26129110,chr5,LC,ADCY2
cg04569429,chr17,IC,TRNA
cg06376598,chr17,LC,SSH2
cg21536074,chr7,LC,GLI3
cg03557857,chr10,ICshore,KCNIP2
cg25813936,chr9,LC,GNE
cg03018496,chr15,IC,NR2F2
cg22495968,chr2,LC,SOX11
cg04821993,chr7,IC,TBL2
cg27549186,chr17,IC,TIMP2
cg21614638,chr4,LC,DAPP1
cg16341836,chr10,LC,STAMBPL1
cg08091050,chr4,LC,RBPJ
cg10641615,chr12,ICshore,HOTAIR_4
cg16240683,chr1,LC,ZNF436
cg03309253,chr19,HC,LTBP4
cg02983451,chr2,HC,KLF11
cg06719334,chr16,LC,RBFOX1
cg07459252,chr14,ICshore,PAX9
cg23981871,chr2,IC,HOXD3
cg16546503,chr18,HC,TUBB6
cg17919004,chr8,HC,EFCAB1
cg19889066,chr5,LC,GCNT4
cg01466348,chr2,LC,RBMS1
cg18437209,chr11,IC,CD44
cg23174662,chr14,LC,HIF1A
cg00515954,chr12,IC,ANKS1B
cg24090990,chr1,IC,LOC388630
cg04650789,chr15,ICshore,NR2F2
cg19100169,chr5,IC,HI423497
cg17600231,chr13,LC,TSC22D1
cg25581222,chr15,LC,CSNK1G1
cg18894648,chr5,HC,LINC00461
cg16341266,chr7,LC,MIR548I4
cg22734058,chr2,LC,LRRFIP1
cg21235151,chr2,HC,BC047605
cg21308365,chr6,LC,CEP85L
cg11859922,chr1,LC,GREM2
cg26894278,chr13,LC,CRYL1
cg05787063,chr10,LC,LOC100507127
cg07204874,chr1,HC,PROX1
cg13052638,chr1,LC,RASSF5
cg02621151,chr5,LC,C5orf38
cg16925459,chr7,LC,HDAC9
cg01310473,chr7,LC,FGL2
cg03685774,chr1,LC,CCDC19
cg07403350,chr13,ICshore,LIG4
cg05675514,chr6,LC,LINC00340
cg12974599,chr22,IC,CELSR1
cg26986871,chr12,LC,KLRK1
cg01703205,chr7,LC,TCRBV14S1
cg22124221,chr7,IC,LOC646329
cg03801183,chr7,LC,GIMAP7
cg14195216,chr12,LC,ANKS1B
cg03249630,chr10,LC,ANKRD22
cg20031845,chr7,LC,IKZF1
cg19861260,chr7,IC,ABCB1
cg22081371,chr1,LC,SEC16B
cg23324048,chr14,HC,JA429117
cg23828876,chr3,LC,PCYT1A
cg18253473,chr14,IC,HSP90AA1
cg04874286,chr12,LC,NR2C1
cg11743675,chr12,LC,CNTN1
cg12629325,chr5,HC,PCDHAC1
cg12099952,chr20,HC,OXT
cg25632577,chr8,LC,PCAT1
cg27598107,chr2,HC,IL1R1
cg10562586,chr2,IC,MAP2
cg26905768,chr7,LC,BMPER
cg18400281,chr10,LC,MIR603
cg20788020,chr8,LC,Mir_584
cg12539415,chr2,HC,HOXD4
cg20911180,chr11,LC,GUCY2E
cg17371081,chr11,HC,NELL1
cg10180415,chr1,IC,CD58
cg12621514,chr10,ICshore,LOC100506939
cg26371345,chr6,LC,MRPL14
cg03234186,chr19,HC,ZNF154
cg08131309,chr15,LC,BMF
cg12463883,chr13,LC,BC043519
cg16762841,chr13,IC,ZIC2
cg26416887,chr12,IC,CUX2
cg11982525,chr7,LC,PIK3CG
cg14698665,chr5,LC,CTNND2
cg01175610,chr12,LC,BCL2L14
cg08778851,chr17,LC,MIR193A
cg10539700,chr2,LC,NEUROD1
cg17218270,chr8,LC,RAB11FIP1
cg06173889,chr2,ICshore,SOX11
cg03395558,chr11,HC,SHANK2
cg21156912,chr17,IC,TBCD
cg19368016,chr10,LC,CELF2
cg23662097,chr3,IC,ITPR1
cg20541870,chr11,LC,ATG13
cg14003853,chr15,LC,AKAP13
cg11214507,chr1,LC,SERTAD4
cg12041387,chr7,ICshore,DLX5
cg20166027,chr10,LC,NCOA4
cg23848712,chr20,LC,GNRH2
cg13185005,chr11,LC,NLRP6
cg25747192,chr3,HC,RASSF1
cg23004758,chr13,HC,PCDH17
cg23262036,chr7,ICshore,DLX6-AS1
cg27270412,chr10,LC,NRP1
cg19528338,chr20,LC,BMP2
cg21205663,chr3,LC,STT3B
cg05918312,chr2,LC,PDE1A
cg03917666,chr10,IC,AK055803
cg16282892,chr3,IC,LOC100131551
cg21461649,chr7,HC,CFTR
cg16497714,chr11,LC,C11orf40
cg02636041,chr10,IC,RASGEF1A
cg12432236,chr13,HC,PCDH17
cg06890747,chr7,HC,LOC646999
cg02226645,chr8,LC,MIR124-2
cg18158151,chr2,HC,C2orf74
cg08655871,chr4,IC,LOC100505875
cg19412295,chr7,IC,CDK14
cg16780603,chr2,LC,NOSTRIN
cg02272851,chr10,LC,KLF6
cg09375033,chr3,HC,DZIP1L
cg11954332,chr1,LC,PRRX1
cg00931874,chr13,IC,C13orf35
cg05941376,chr5,IC,WWC1
cg25058482,chr2,LC,TANK
cg15026265,chr12,IC,CCDC91
cg15867652,chr17,ICshore,BAIAP2
cg05346256,chr12,LC,MIR4302
cg10556636,chr10,LC,Metazoa_SRP
cg00232402,chr18,LC,CTDP1
cg25609528,chr1,HC,POU3F1
cg15978561,chr2,IC,HDAC4
cg02052265,chr1,LC,C1orf150
cg00937286,chr8,LC,LOC286094
cg06544111,chr7,IC,EVX1
cg03918304,chr2,LC,HOXD10
cg06844526,chr2,LC,MYO1B
cg16071681,chr18,LC,CTAGE1
cg01444716,chr20,LC,BTBD3
cg23045908,chr1,LC,PDE4B
cg26244646,chr17,LC,BCAS3
cg20216309,chr3,LC,GALNTL2
cg01394884,chr4,LC,U4
cg06633978,chr16,LC,BCAR1
cg11594770,chr3,LC,C3orf39
cg23950788,chr7,LC,PPP1R17
